,lat,lng,name,vicinity
0,38.92711749999999,-77.0145732,Children's National - Main Hospital,"111 Michigan Avenue Northwest, Washington"
1,38.9294434,-77.0147266,"Dr. Elmer E. Huerta, MD","110 Irving Street Northwest, Washington"
2,38.9294434,-77.0147266,Washington Hospital Center: Bank William O MD,"110 Irving Street Northwest # G012, Washington"
3,38.92950599999999,-77.0147963,"Robert Henshaw, MD","Washington Cancer Institute, 110 Irving Street Northwest C-2173, Washington"
4,38.9294434,-77.0147266,Washington Cancer Institute: Fields Abbie MD,"110 Irving Street Northwest, Washington"
5,38.9294434,-77.0147266,Washington Cardiology Center: Suddath William O MD,"110 Irving Street Northwest, Washington"
6,38.9294434,-77.0147266,"Dr. Rita W. Driggers, MD","110 Irving Street Northwest, Washington"
7,38.929171,-77.012675,"Dr. Konrad L. Dawson, MD","106 Irving Street Northwest, Washington"
8,38.9175676,-77.020726,Howard University Hospital:pulmonary,"2041 Georgia Avenue Northwest, Washington"
9,38.905054,-77.04289299999999,Capital Oral & Facial Surgery Center,"1145 19th Street Northwest #777, Washington"
10,38.929543,-77.013673,Travel Clinics of America: Dr. Emmanuel Mbualungu,"106 Irving Street Northwest Suite 403, Washington"
11,38.9068903,-77.043472,Capital Podiatry Associates,"1234 19th Street Northwest, Washington"
12,38.905041,-77.042864,"Dr. Ian Beiser, DPM","1145 19th Street Northwest suite 605, Washington"
13,38.9050447,-77.04292509999999,"Jordan Heffez, MD (Retina Consultants PC)","1145 19th Street Northwest Suite 500, Washington"
14,38.9050447,-77.04292509999999,Reiter & Hill: Reiter Mark B MD,"1145 19th Street Northwest #410, Washington"
15,38.9294434,-77.0147266,"Dr. Michael S. Gold, MD","110 Irving Street Northwest, Washington"
16,38.9294434,-77.0147266,"Dr. Brian Walitt, MD","110 Irving Street Northwest #2A66, Washington"
17,38.9294434,-77.0147266,"Dr. Leonard Wartofsky, MD","110 Irving Street Northwest #2A62, Washington"
18,38.93059179999999,-77.0133791,"Dr. Stephen F. Gunther, MD","102 Irving Street Northwest, Washington"
19,38.9293814,-77.0146402,"Dr. Nelson L. Bernardo, MD","110 Irving Street Northwest #4B-1, Washington"
20,38.9294434,-77.0147266,Washington Cancer Institute: Catlett Joseph MD,"110 Irving Street Northwest, Washington"
21,38.9294434,-77.0147266,"Dr. Anna H. Choi, MD","110 Irving Street Northwest, Washington"
