,lat,lng,name,vicinity
0,38.9294434,-77.0147266,"Dr. Elmer E. Huerta, MD","110 Irving Street Northwest, Washington"
1,38.9029656,-77.0457479,"Dr. Sandra I. Read, MD","2021 K Street Northwest #508, Washington"
2,38.905054,-77.04289299999999,Capital Oral & Facial Surgery Center,"1145 19th Street Northwest #777, Washington"
3,38.92950599999999,-77.0147963,"Robert Henshaw, MD","Washington Cancer Institute, 110 Irving Street Northwest C-2173, Washington"
4,38.9294434,-77.0147266,Washington Hospital Center: Bank William O MD,"110 Irving Street Northwest # G012, Washington"
5,38.9068903,-77.043472,Capital Podiatry Associates,"1234 19th Street Northwest, Washington"
6,38.9294434,-77.0147266,Washington Cancer Institute: Fields Abbie MD,"110 Irving Street Northwest, Washington"
7,38.9294434,-77.0147266,Washington Cardiology Center: Suddath William O MD,"110 Irving Street Northwest, Washington"
8,38.9294434,-77.0147266,"Dr. Rita W. Driggers, MD","110 Irving Street Northwest, Washington"
9,38.92711749999999,-77.0145732,Children's National - Main Hospital,"111 Michigan Avenue Northwest, Washington"
10,38.9049024,-77.0507387,"Dr. James N. Debritz, MD","2300 M Street Northwest, Washington"
11,38.905041,-77.042864,"Dr. Ian Beiser, DPM","1145 19th Street Northwest suite 605, Washington"
12,38.9050447,-77.04292509999999,"Jordan Heffez, MD (Retina Consultants PC)","1145 19th Street Northwest Suite 500, Washington"
13,38.9050447,-77.04292509999999,Reiter & Hill: Reiter Mark B MD,"1145 19th Street Northwest #410, Washington"
14,38.902933,-77.045748,"Andrew B. Wolff, MD","2021 K Street Northwest #516, Washington"
15,38.90504309999999,-77.05297399999999,Semerjian Hrant MD,"2440 M Street Northwest, Washington"
16,38.93059179999999,-77.0133791,"Dr. Stephen F. Gunther, MD","102 Irving Street Northwest, Washington"
17,38.929171,-77.012675,"Dr. Konrad L. Dawson, MD","106 Irving Street Northwest, Washington"
18,38.90504309999999,-77.05297399999999,Pullman & Associates Pediatrics,"2440 M Street Northwest Suite #422, Washington"
19,38.90482859999999,-77.05239870000001,"Dr. George B. Bren, MD","2440 M Street Northwest #804, Washington"
20,38.929543,-77.013673,Travel Clinics of America: Dr. Emmanuel Mbualungu,"106 Irving Street Northwest Suite 403, Washington"
21,38.905045,-77.05291,"MI Skin Dermatology Center: Melda Isaac, MD","2440 M Street Northwest #703, Washington"
22,38.9029756,-77.04551459999999,"Jeffrey B Sherman, MD","2021 K Street Northwest, Washington"
23,38.9294434,-77.0147266,"Dr. Michael S. Gold, MD","110 Irving Street Northwest, Washington"
24,38.89922490000001,-76.9798776,"Richard A. Wilson Jr., MD","1647 Benning Road Northeast, Washington"
25,38.9049677,-77.0507796,"DC Head and Neck - Arjun Joshi, M.D.","4, 2300 M Street Northwest, Washington"
